monday_date,friday_date,fri_rth_close,fri_settlement,fri_rth_high,fri_rth_low,fri_rth_range,sun_open,mon_rth_open,mon_or_high,mon_or_low,mon_rth_high,mon_rth_low,globex_high,globex_low,nwog_gap,nwog_gap_abs,nwog_pct,direction,gap_rth,rth_open_in_gap,or_against_gap,globex_filled,first_hour_filled,rth_filled,mon_session_filled,tue_filled,week_filled,partial_fill_pct,fill_time_minutes,gap_bucket,globex_range,globex_toward_fill,globex_fill_pct,gap_vs_fri_range,gap_rel_q
2025-02-24,2025-02-21,22596.5,22572.0,23114.75,22574.5,540.25,22612.75,22669.25,22713.75,22596.0,22713.75,22319.5,22725.0,22588.75,16.25,16.25,0.07191379195893169,UP,72.75,False,True,True,True,True,True,False,True,100.0,14.0,0-20,136.25,24.0,147.6923076923077,3.007866728366497,Q1 (small relative)
2025-03-03,2025-02-28,21810.75,21821.0,21856.25,21372.5,483.75,21917.25,21969.25,22033.0,21854.75,22033.0,21228.75,22013.0,21749.75,106.5,106.5,0.4882913242323167,UP,158.5,False,True,True,True,True,True,False,True,100.0,26.0,100-200,263.25,167.5,157.27699530516432,22.015503875968992,Q3
2025-03-10,2025-03-07,21121.5,21119.25,21198.25,20677.5,520.75,21059.0,20791.75,20809.5,20699.5,20816.5,20184.25,21068.5,20773.0,-62.5,62.5,-0.29590701417986415,DOWN,-329.75,False,False,False,False,False,False,False,False,15.2,,50-100,295.5,9.5,15.2,12.00192030724916,Q3
2025-03-17,2025-03-14,20573.5,20579.5,20654.5,20348.75,305.75,20594.0,20609.75,20765.75,20601.25,20876.25,20541.5,20696.25,20465.5,20.5,20.5,0.09964274430699685,UP,36.25,False,False,True,False,True,True,False,True,100.0,94.0,20-50,230.75,128.5,626.829268292683,6.704824202780049,Q2
2025-03-24,2025-03-21,20664.0,20679.25,20682.5,20316.0,366.5,20759.0,20970.75,21001.5,20937.75,21118.0,20937.75,20994.5,20759.0,95.0,95.0,0.45973674022454514,UP,306.75,False,False,False,False,False,False,False,True,0.0,,50-100,235.5,0.0,0.0,25.92087312414734,Q3
2025-03-31,2025-03-28,20121.0,20069.5,20650.0,20119.0,531.0,20028.25,19876.0,19900.25,19721.5,20198.25,19685.25,20073.5,19827.0,-92.75,92.75,-0.4609611848317678,DOWN,-245.0,False,False,False,False,True,True,False,True,100.0,324.0,50-100,246.5,45.25,48.78706199460917,17.46704331450094,Q3
2025-04-07,2025-04-04,18232.0,18191.75,18957.25,18152.0,805.25,17808.5,17626.25,17688.5,17394.75,19070.0,17382.0,17986.5,17168.5,-423.5,423.5,-2.3228389644580956,DOWN,-605.75,False,False,False,True,True,True,False,True,100.0,41.0,200+,818.0,178.0,42.03069657615112,52.59236262030426,Q4 (large relative)
2025-04-14,2025-04-11,19519.75,19529.0,19582.0,18978.5,603.5,19933.5,19940.5,19963.25,19710.75,19963.25,19446.0,19964.5,19640.0,413.75,413.75,2.1196480487711162,UP,420.75,False,True,False,False,True,True,False,True,100.0,142.0,200+,324.5,293.5,70.93655589123867,68.55840927920464,Q4 (large relative)
2025-04-28,2025-04-25,20263.75,20263.25,20271.5,19942.25,329.25,20233.0,20261.0,20296.25,20191.25,20331.5,19965.75,20278.0,20100.75,-30.75,30.75,-0.15174881253469866,DOWN,-2.75,True,True,True,True,True,True,False,True,100.0,1.0,20-50,177.25,45.0,146.34146341463415,9.339407744874716,Q2
2025-05-05,2025-05-02,20915.0,20913.0,20985.25,20728.25,257.0,20890.0,20723.75,20761.75,20693.75,20900.0,20693.75,20910.25,20674.5,-25.0,25.0,-0.11953143676786994,DOWN,-191.25,False,True,False,False,False,False,False,True,81.0,,20-50,235.75,20.25,81.0,9.72762645914397,Q2
2025-05-12,2025-05-09,20841.25,20855.0,20988.25,20766.5,221.75,21107.0,21634.25,21637.75,21455.0,21704.5,21398.5,21700.0,21085.25,265.75,265.75,1.2751154561266718,UP,793.0,False,True,False,False,False,False,False,False,8.184383819379114,,200+,614.75,21.75,8.184383819379114,119.84216459977452,Q4 (large relative)
2025-05-19,2025-05-16,22204.5,22108.75,22220.5,22028.75,191.75,22019.25,21904.5,22040.25,21902.5,22253.0,21902.5,22126.5,21821.0,-185.25,185.25,-0.8342903465513748,DOWN,-300.0,False,True,False,False,True,True,False,True,100.0,207.0,100-200,305.5,107.25,57.89473684210527,96.61016949152543,Q4 (large relative)
2025-05-26,2025-05-23,21656.75,21661.75,21791.5,21531.0,260.5,21686.5,21969.0,22016.25,21967.25,22016.25,21924.0,21997.5,21662.75,29.75,29.75,0.13737056575894352,UP,312.25,False,False,False,False,False,False,False,False,79.83193277310924,,20-50,334.75,23.75,79.83193277310924,11.42034548944338,Q3
2025-06-02,2025-05-30,22080.75,22077.5,22142.0,21780.0,362.0,22012.25,21988.75,22166.5,21988.0,22267.5,21943.25,22057.0,21871.5,-68.5,68.5,-0.3102249697134382,DOWN,-92.0,False,True,False,True,True,True,False,True,100.0,3.0,50-100,185.5,44.75,65.32846715328468,18.922651933701655,Q3
2025-06-09,2025-06-06,22507.0,22518.0,22582.0,22430.5,151.5,22507.75,22512.75,22523.5,22459.25,22599.25,22459.25,22532.75,22424.5,0.75,0.75,0.0033322966188296978,UP,5.75,False,True,True,True,True,True,False,True,100.0,0.0,0-20,108.25,83.25,11100.0,0.49504950495049505,Q1 (small relative)
2025-06-16,2025-06-13,22387.25,22360.5,22563.25,22308.75,254.5,22266.5,22511.5,22593.0,22506.0,22716.0,22506.0,22556.75,22220.0,-120.75,120.75,-0.5393695071971769,DOWN,124.25,False,True,True,True,True,True,False,True,100.0,0.0,100-200,336.75,290.25,240.37267080745343,47.445972495088405,Q4 (large relative)
2025-06-23,2025-06-20,22356.0,22368.0,22624.5,22259.0,365.5,22142.25,22363.75,22379.75,22252.5,22587.0,22232.25,22438.25,22060.75,-213.75,213.75,-0.9561191626409018,DOWN,7.75,False,True,True,True,True,True,False,True,100.0,0.0,200+,377.5,296.0,138.4795321637427,58.48153214774282,Q4 (large relative)
2025-06-30,2025-06-27,23234.5,23234.25,23319.5,23094.0,225.5,23245.5,23368.25,23369.5,23302.75,23428.75,23275.0,23409.0,23245.5,11.0,11.0,0.047343390217134004,UP,133.75,False,True,False,False,False,False,True,True,0.0,,0-20,163.5,0.0,0.0,4.878048780487805,Q1 (small relative)
2025-07-07,2025-07-04,23400.75,23400.75,23439.5,23382.0,57.5,23464.0,23440.75,23469.75,23394.5,23471.5,23273.75,23522.5,23402.25,63.25,63.25,0.2702904821426664,UP,40.0,True,False,False,True,True,True,False,True,100.0,5.0,50-100,120.25,61.75,97.62845849802372,110.00000000000001,Q4 (large relative)
2025-07-14,2025-07-11,23434.75,23432.0,23515.5,23357.0,158.5,23354.75,23428.0,23473.25,23348.25,23560.5,23336.25,23430.5,23297.0,-80.0,80.0,-0.3413733878108365,DOWN,-6.75,True,False,False,True,True,True,False,True,100.0,0.0,50-100,133.5,75.75,94.6875,50.473186119873816,Q4 (large relative)
2025-07-21,2025-07-18,23718.0,23722.5,23804.0,23663.5,140.5,23726.5,23746.5,23842.75,23743.75,23918.75,23743.75,23802.5,23697.75,8.5,8.5,0.03583776035078843,UP,28.5,False,False,True,False,False,True,False,True,100.0,,0-20,104.75,28.75,338.2352941176471,6.049822064056939,Q2
2025-07-28,2025-07-25,23928.25,23941.75,23970.0,23824.75,145.25,24014.0,23966.0,23999.0,23958.75,24023.0,23930.75,24079.25,23960.25,85.75,85.75,0.35836302278687326,UP,37.75,True,False,False,False,False,False,True,True,97.08454810495627,,50-100,119.0,53.75,62.68221574344023,59.036144578313255,Q4 (large relative)
2025-08-04,2025-08-01,23386.25,23364.0,23589.75,23269.0,320.75,23344.0,23582.75,23691.0,23580.25,23832.5,23580.25,23584.25,23315.75,-42.25,42.25,-0.18066171361376876,DOWN,196.5,False,True,True,True,True,True,False,True,100.0,0.0,20-50,268.5,240.25,568.6390532544378,13.172252533125487,Q3
2025-08-11,2025-08-08,24258.25,24259.5,24259.0,24024.0,235.0,24258.0,24202.5,24231.75,24174.75,24298.5,24081.5,24267.0,24161.75,-0.25,0.25,-0.001030577226304453,DOWN,-55.75,False,True,True,True,True,True,False,True,100.0,50.0,0-20,105.25,9.0,3600.0,0.10638297872340426,Q1 (small relative)
2025-08-18,2025-08-15,24303.25,24290.75,24415.75,24228.5,187.25,24289.0,24257.5,24311.25,24257.25,24318.25,24213.0,24375.75,24233.5,-14.25,14.25,-0.05863413329492969,DOWN,-45.75,False,True,True,True,True,True,False,True,100.0,5.0,0-20,142.25,86.75,608.7719298245614,7.610146862483311,Q2
2025-08-25,2025-08-22,24071.25,24076.75,24144.0,23699.5,444.5,24096.0,23992.0,24012.25,23937.25,24110.25,23937.25,24101.5,23956.0,24.75,24.75,0.10281975385574077,UP,-79.25,False,True,True,True,True,True,False,True,100.0,0.0,20-50,145.5,140.0,565.6565656565657,5.568053993250844,Q2
2025-09-01,2025-08-29,23959.0,23948.5,24162.0,23891.5,270.5,23973.0,23970.0,23978.0,23935.75,24000.75,23935.75,24046.5,23864.5,14.0,14.0,0.058433156642597774,UP,11.0,True,False,True,True,True,True,False,True,100.0,1.0,0-20,182.0,108.5,775.0,5.175600739371535,Q1 (small relative)
2025-09-08,2025-09-05,24169.5,24167.25,24396.0,23999.0,397.0,24167.5,24280.25,24343.0,24265.75,24382.0,24254.0,24289.0,24144.25,-2.0,2.0,-0.008274891909224435,DOWN,110.75,False,True,True,True,True,True,False,True,100.0,0.0,0-20,144.75,121.5,6075.0,0.5037783375314862,Q1 (small relative)
2025-09-15,2025-09-12,24605.5,24609.25,24653.0,24495.5,157.5,24609.5,24675.75,24725.0,24669.25,24813.25,24669.25,24679.5,24574.25,4.0,4.0,0.01625652801202983,UP,70.25,False,False,True,False,False,True,False,True,100.0,,0-20,105.25,35.25,881.25,2.5396825396825395,Q1 (small relative)
2025-09-22,2025-09-19,25126.75,25117.5,25144.5,24964.5,180.0,25106.5,25076.25,25113.25,25070.75,25283.75,25070.75,25132.5,25005.25,-20.25,20.25,-0.08059140159391884,DOWN,-50.5,False,True,True,True,True,True,False,True,100.0,25.0,20-50,127.25,26.0,128.39506172839506,11.25,Q2
2025-09-29,2025-09-26,25001.0,24983.0,25001.75,24776.5,225.25,24983.0,25115.0,25173.75,25103.0,25232.0,25037.0,25166.0,24978.25,-18.0,18.0,-0.07199712011519539,DOWN,114.0,False,True,True,True,True,True,False,True,100.0,0.0,0-20,187.75,183.0,1016.6666666666666,7.991120976692565,Q2
2025-10-06,2025-10-03,25238.75,25238.5,25424.5,25179.75,244.75,25256.5,25468.75,25478.25,25376.5,25509.25,25365.0,25498.0,25251.5,17.75,17.75,0.0703283641226289,UP,230.0,False,True,False,False,False,False,False,True,28.169014084507044,,0-20,246.5,5.0,28.169014084507044,7.252298263534218,Q2
2025-10-13,2025-10-10,24698.5,24444.5,25644.5,24640.75,1003.75,24798.5,25084.0,25099.25,24981.0,25221.5,24981.0,25202.25,24798.5,100.0,100.0,0.4048828876247545,UP,385.5,False,True,False,False,False,False,True,True,0.0,,50-100,403.75,0.0,0.0,9.9626400996264,Q2
2025-10-20,2025-10-17,25267.25,25290.0,25312.25,24929.0,383.25,25322.25,25379.75,25481.5,25371.25,25611.0,25371.25,25409.0,25212.25,55.0,55.0,0.21767307483006657,UP,112.5,False,False,True,False,False,True,False,True,100.0,,50-100,196.75,110.0,200.0,14.350945857795171,Q3
2025-10-27,2025-10-24,25763.0,25766.75,25827.25,25686.25,141.0,25980.0,26083.25,26116.0,26053.0,26237.75,26053.0,26109.0,25956.5,217.0,217.0,0.8422932111943485,UP,320.25,False,True,False,False,False,False,False,False,10.829493087557603,,200+,152.5,23.5,10.829493087557603,153.90070921985816,Q4 (large relative)
2025-11-03,2025-10-31,26240.75,26239.5,26464.5,26145.25,319.25,26284.75,26478.25,26522.5,26411.5,26522.5,26272.0,26516.25,26269.25,44.0,44.0,0.16767813419967034,UP,237.5,False,True,False,False,False,False,True,True,35.22727272727273,,20-50,247.0,15.5,35.22727272727273,13.782302270947532,Q3
2025-11-10,2025-11-07,25455.0,25483.25,25463.0,24965.75,497.25,25577.25,25796.25,25884.25,25781.75,26017.0,25708.5,25826.0,25525.5,122.25,122.25,0.48025928108426635,UP,341.25,False,False,False,False,False,False,False,True,42.331288343558285,,100-200,300.5,51.75,42.331288343558285,24.58521870286576,Q3
2025-11-17,2025-11-14,25388.75,25404.0,25549.75,24882.5,667.25,25398.75,25252.75,25456.25,25211.5,25510.5,24988.25,25617.75,25249.0,10.0,10.0,0.03938752400177244,UP,-136.0,False,False,True,True,True,True,False,True,100.0,0.0,0-20,368.75,149.75,1497.5,1.4986886474334957,Q1 (small relative)
2025-11-24,2025-11-21,24580.5,24605.5,24852.75,24183.75,669.0,24712.25,24779.25,24979.25,24773.25,25250.0,24773.25,24831.0,24618.25,131.75,131.75,0.5359939789670674,UP,198.75,False,False,False,False,False,False,False,False,71.34724857685009,,100-200,212.75,94.0,71.34724857685009,19.69357249626308,Q3
2025-12-01,2025-11-28,25741.0,25741.0,25756.25,25587.5,168.75,25739.0,25515.25,25578.5,25465.75,25752.25,25465.75,25802.5,25449.75,-2.0,2.0,-0.007769705916631056,DOWN,-225.75,False,False,True,False,True,True,False,True,100.0,196.0,0-20,352.75,63.5,3175.0,1.1851851851851851,Q1 (small relative)
2025-12-08,2025-12-05,25990.0,25991.5,26124.5,25907.75,216.75,26006.5,26052.25,26117.25,26028.0,26117.25,25821.25,26089.5,25956.75,16.5,16.5,0.06348595613697576,UP,62.25,False,False,True,True,True,True,False,True,100.0,20.0,0-20,132.75,49.75,301.5151515151515,7.612456747404845,Q2
2025-12-15,2025-12-12,25473.0,25459.0,25876.0,25374.5,501.5,25463.25,25655.5,25668.0,25545.75,25668.0,25285.75,25662.25,25385.0,-9.75,9.75,-0.038275821458014364,DOWN,182.5,False,False,True,True,True,True,False,True,100.0,0.0,0-20,277.25,199.0,2041.0256410256409,1.9441674975074776,Q1 (small relative)
2025-12-22,2025-12-19,25581.25,25597.5,25600.25,25354.0,246.25,25635.25,25781.75,25794.75,25672.25,25794.75,25628.0,25782.5,25632.25,54.0,54.0,0.2110921084778891,UP,200.5,False,True,False,False,False,False,False,False,13.425925925925927,,50-100,150.25,3.0,5.555555555555555,21.928934010152286,Q3
2025-12-29,2025-12-26,25868.75,25856.0,25935.25,25834.25,101.0,25863.25,25698.5,25819.0,25664.25,25819.0,25648.0,25893.75,25656.75,-5.5,5.5,-0.02126117419666586,DOWN,-170.25,False,True,True,False,False,True,False,True,100.0,,0-20,237.0,30.5,554.5454545454546,5.445544554455446,Q1 (small relative)
2026-01-05,2026-01-02,25396.5,25394.5,25803.75,25265.25,538.5,25431.75,25621.25,25672.5,25538.5,25708.0,25538.5,25637.0,25406.5,35.25,35.25,0.13879865335774613,UP,224.75,False,True,False,False,False,False,False,False,71.63120567375887,,20-50,230.5,25.25,71.63120567375887,6.545961002785515,Q2
2026-01-12,2026-01-09,25933.5,25931.75,25985.5,25615.5,370.0,25949.0,25736.5,25892.75,25734.0,26020.5,25734.0,25960.0,25632.75,15.5,15.5,0.05976825341739449,UP,-197.0,False,False,True,True,True,True,False,True,100.0,0.0,0-20,327.25,316.25,2040.3225806451612,4.1891891891891895,Q1 (small relative)
2026-01-19,2026-01-16,25679.25,25681.25,25891.0,25591.5,299.5,25471.0,25287.0,25297.0,25240.25,25417.25,25236.5,25472.0,25257.75,-208.25,208.25,-0.8109660523574482,DOWN,-392.25,False,False,False,False,False,False,False,True,0.4801920768307323,,200+,214.25,1.0,0.4801920768307323,69.53255425709516,Q4 (large relative)
2026-01-26,2026-01-23,25703.0,25680.5,25845.75,25562.5,283.25,25585.5,25738.25,25827.0,25704.25,25936.5,25704.25,25743.5,25365.25,-117.5,117.5,-0.45714508034081625,DOWN,35.25,False,True,True,True,True,True,False,True,100.0,0.0,100-200,378.25,158.0,134.46808510638297,41.48278905560459,Q4 (large relative)
2026-02-02,2026-01-30,25648.5,25639.25,25940.0,25568.75,371.25,25530.0,25532.75,25730.75,25527.5,25949.5,25527.5,25645.75,25180.25,-118.5,118.5,-0.46201532253348154,DOWN,-115.75,True,True,False,True,True,True,False,True,100.0,3.0,100-200,465.5,115.75,97.67932489451476,31.91919191919192,Q3
2026-02-09,2026-02-06,25128.0,25107.75,25222.0,24700.75,521.25,25153.75,25064.0,25148.25,24955.5,25428.75,24955.5,25346.5,24968.5,25.75,25.75,0.10247532632919454,UP,-64.0,False,False,True,True,True,True,False,True,100.0,0.0,20-50,378.0,185.25,719.4174757281553,4.940047961630696,Q1 (small relative)
2026-02-16,2026-02-13,24798.75,24773.5,24995.5,24578.75,416.75,24789.75,24760.25,24776.5,24711.5,24797.5,24670.75,24922.25,24754.5,-9.0,9.0,-0.03629215182216846,DOWN,-38.5,False,False,True,False,False,True,False,True,100.0,,0-20,167.75,132.5,1472.2222222222222,2.1595680863827234,Q1 (small relative)
2026-02-23,2026-02-20,25078.5,25077.5,25139.5,24678.5,461.0,25033.75,24975.5,25040.0,24884.75,25040.0,24668.0,25059.75,24807.25,-44.75,44.75,-0.17843969934405965,DOWN,-103.0,False,False,False,False,False,False,True,True,58.10055865921788,,20-50,252.5,26.0,58.10055865921788,9.707158351409978,Q2
2026-03-02,2026-02-27,24976.5,24959.0,25036.75,24782.0,254.75,24682.5,24640.25,24885.0,24605.0,25101.0,24605.0,24901.25,24477.0,-294.0,294.0,-1.1771064800912858,DOWN,-336.25,False,True,False,False,True,True,False,True,100.0,100.0,200+,424.25,218.75,74.40476190476191,115.4072620215898,Q4 (large relative)
2026-03-09,2026-03-06,24807.5,24807.5,24926.25,24608.75,317.5,24305.5,,,,,,24326.25,24000.0,-502.0,502.0,-2.0235815781517683,DOWN,,,,False,False,False,False,False,False,4.133466135458167,,200+,326.25,20.75,4.133466135458167,158.11023622047244,Q4 (large relative)
